,name,type,species,period,period_time,continent,lived_in,diet,length,size,taxonomy,link
0,Aardonyx,Sauropod,Celestae,Jurassic,Early,Africa,South Africa,Herbivorous,8.0,Medium,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
1,Abelisaurus,Large Theropod,Comahuensis,Cretaceous,Late,South America,Argentina,Carnivorous,9.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
2,Achelousaurus,Ceratopsian,Horneri,Cretaceous,Late,North America,United States,Herbivorous,6.0,Medium,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
3,Achillobator,Large Theropod,Giganteus,Cretaceous,Late,Asia,Mongolia,Carnivorous,5.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
4,Acrocanthosaurus,Large Theropod,Atokensis,Cretaceous,Early,North America,United States,Carnivorous,12.0,Long,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
5,Aegyptosaurus,Sauropod,Baharijensis,Cretaceous,Late,Africa,Egypt,Herbivorous,15.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
6,Afrovenator,Large Theropod,Abakensis,Cretaceous,Early,Africa,Niger,Carnivorous,9.0,Medium,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
7,Agilisaurus,Euornithopod,Louderbacki,Jurassic,Late,Asia,China,Herbivorous,1.5,Short,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
8,Alamosaurus,Sauropod,Sanjuanensis,Cretaceous,Late,North America,United States,Herbivorous,21.0,Long,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
9,Albertaceratops,Ceratopsian,Nesmoi,Cretaceous,Late,North America,United States,Herbivorous,7.0,Medium,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
