,name,type,species,period,period_time,continent,lived_in,diet,length,taxonomy,link
0,aardonyx,sauropod,celestae,Jurassic,Early,Africa,South Africa,herbivorous,8.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
1,abelisaurus,large theropod,comahuensis,Cretaceous,Late,South America,Argentina,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
2,achelousaurus,ceratopsian,horneri,Cretaceous,Late,North America,United States,herbivorous,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html
3,achillobator,large theropod,giganteus,Cretaceous,Late,Asia,Mongolia,carnivorous,5.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
4,acrocanthosaurus,large theropod,atokensis,Cretaceous,Early,North America,United States,carnivorous,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html
5,aegyptosaurus,sauropod,baharijensis,Cretaceous,Late,Africa,Egypt,herbivorous,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html
6,afrovenator,large theropod,abakensis,Cretaceous,Early,Africa,Niger,carnivorous,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
7,agilisaurus,euornithopod,louderbacki,Jurassic,Late,Asia,China,herbivorous,1.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html
8,alamosaurus,sauropod,sanjuanensis,Cretaceous,Late,North America,United States,herbivorous,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html
9,albertaceratops,ceratopsian,nesmoi,Cretaceous,Late,North America,United States,herbivorous,7.0m,Dinosauria Ornithischia,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html
